"geo\time","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011",""
"Ireland",81.200000000000003,"",72.700000000000003,"",63.700000000000003,"",53.0,"",48.0,"",37.5,"",35.200000000000003,"",31.899999999999999,"",30.699999999999999,"",29.399999999999999,"",27.199999999999999,"",24.699999999999999,"",24.800000000000001,"",44.200000000000003,"",65.099999999999994,"",92.5,"",108.2,""
"Greece",97.0,"",99.400000000000006,"",96.599999999999994,"",94.5,"",94.0,"",103.40000000000001,"",103.7,"",101.7,"",97.400000000000006,"",98.599999999999994,"",100.0,"",106.09999999999999,"",107.40000000000001,"",113.0,"",129.40000000000001,"",145.0,"",165.30000000000001,""
"Spain",63.299999999999997,"",67.400000000000006,"",66.099999999999994,"",64.099999999999994,"",62.399999999999999,"",59.399999999999999,"",55.600000000000001,"",52.600000000000001,"",48.799999999999997,"",46.299999999999997,"",43.100000000000001,"",39.600000000000001,"",36.200000000000003,"",40.200000000000003,"",53.899999999999999,"",61.200000000000003,"",68.5,""
"France",55.5,"",58.0,"",59.200000000000003,"",59.399999999999999,"",58.899999999999999,"",57.299999999999997,"",56.899999999999999,"",58.799999999999997,"",62.899999999999999,"",64.900000000000006,"",66.400000000000006,"",63.700000000000003,"",64.200000000000003,"",68.200000000000003,"",79.200000000000003,"",82.299999999999997,"",85.799999999999997,""
"Italy",120.90000000000001,"",120.2,"",117.40000000000001,"",114.2,"",113.0,"",108.5,"",108.2,"",105.09999999999999,"",103.90000000000001,"",103.40000000000001,"",105.40000000000001,"",106.09999999999999,"",103.09999999999999,"",105.7,"",116.0,"",118.59999999999999,"",120.09999999999999,""
"Cyprus",51.799999999999997,"",53.100000000000001,"",57.399999999999999,"",59.200000000000003,"",59.299999999999997,"",59.600000000000001,"",61.200000000000003,"",65.099999999999994,"",69.700000000000003,"",70.900000000000006,"",69.400000000000006,"",64.700000000000003,"",58.799999999999997,"",48.899999999999999,"",58.5,"",61.5,"",71.599999999999994,""
"Latvia",15.1,"",13.9,"",11.1,"",9.5999999999999996,"",12.5,"",12.4,"",14.1,"",13.6,"",14.699999999999999,"",15.0,"",12.5,"",10.699999999999999,"",9.0,"",19.800000000000001,"",36.700000000000003,"",44.700000000000003,"",42.600000000000001,""
"Lithuania",11.5,"",13.800000000000001,"",15.4,"",16.5,"",22.699999999999999,"",23.600000000000001,"",23.0,"",22.199999999999999,"",21.0,"",19.300000000000001,"",18.300000000000001,"",17.899999999999999,"",16.800000000000001,"",15.5,"",29.399999999999999,"",38.0,"",38.5,""
"Luxembourg",7.4000000000000004,"",7.4000000000000004,"",7.4000000000000004,"",7.0999999999999996,"",6.4000000000000004,"",6.2000000000000002,"",6.2999999999999998,"",6.2999999999999998,"",6.0999999999999996,"",6.2999999999999998,"",6.0999999999999996,"",6.7000000000000002,"",6.7000000000000002,"",13.699999999999999,"",14.800000000000001,"",19.100000000000001,"",18.199999999999999,""
"Hungary",85.599999999999994,"",72.400000000000006,"",62.899999999999999,"",60.899999999999999,"",60.799999999999997,"",56.100000000000001,"",52.700000000000003,"",55.899999999999999,"",58.600000000000001,"",59.5,"",61.700000000000003,"",65.900000000000006,"",67.0,"",73.0,"",79.799999999999997,"",81.400000000000006,"",80.599999999999994,""
"Malta",35.299999999999997,"",40.100000000000001,"",48.399999999999999,"",53.399999999999999,"",57.100000000000001,"",54.899999999999999,"",60.899999999999999,"",59.100000000000001,"",67.599999999999994,"",71.700000000000003,"",69.700000000000003,"",64.099999999999994,"",62.100000000000001,"",62.299999999999997,"",68.099999999999994,"",69.400000000000006,"",72.0,""
